Full Name,Email,Date of Hire,Base Salary,Office Name,Manager Name
"Wilcox, Frank",frank.wilcox@dreamhomes.nyc,2024-04-13,97978.63,Dream Homes Trenton,"Willis, Stephanie"
"Holland, Kristy",kristy.holland@dreamhomes.nyc,2024-03-12,57203.56,Dream Homes New York,"Harris, Jennifer"
"Roman, Gabriela",gabriela.roman@dreamhomes.nyc,2023-03-31,34738.22,Dream Homes Syracuse,"Perry, Cynthia"
"Garcia, Craig",craig.garcia@dreamhomes.nyc,2023-11-21,96578.49,Dream Homes Albany,"Turner, Cynthia"
"Gray, Christina",christina.gray@dreamhomes.nyc,2024-03-21,43145.66,Dream Homes Stamford,"Collier, James"
"Ross, Patricia",patricia.ross@dreamhomes.nyc,2023-12-13,65348.76,Dream Homes Syracuse,"Bradley, Michael"
"Evans, Teresa",teresa.evans@dreamhomes.nyc,2023-06-17,108712.27,Dream Homes Bridgeport,"Coffey, Patrick"
"Patton, Colton",colton.patton@dreamhomes.nyc,2023-08-31,44822.96,Dream Homes Trenton,"Smith, Joshua"
"Lee, Melissa",melissa.lee@dreamhomes.nyc,2023-08-06,40814.93,Dream Homes Trenton,"Gibbs, Anthony"
"Roberts, Sandra",sandra.roberts@dreamhomes.nyc,2023-08-30,34751.34,Dream Homes Trenton,"Lee, Melissa"
"Cameron, Katie",katie.cameron@dreamhomes.nyc,2024-01-30,98901.18,Dream Homes Hartford,"Miller, Danielle"
"Coleman, Katherine",katherine.coleman@dreamhomes.nyc,2024-01-30,63284.94,Dream Homes Trenton,"Barrett, Joy"
"Clements, Derek",derek.clements@dreamhomes.nyc,2022-06-01,55180.3,Dream Homes Hartford,"Barry, Megan"
"Collins, Briana",briana.collins@dreamhomes.nyc,2024-04-07,82201.73,Dream Homes Albany,"Howard, Katherine"
"Hughes, Jennifer",jennifer.hughes@dreamhomes.nyc,2023-06-26,77460.38,Dream Homes Syracuse,"Andrews, Faith"
"Campos, Michael",michael.campos@dreamhomes.nyc,2024-01-10,57877.02,Dream Homes Bridgeport,"Romero, Diane"
"Taylor, Jessica",jessica.taylor@dreamhomes.nyc,2024-04-08,76583.61,Dream Homes Waterbury,"Brennan, Lindsay"
"Greene, Courtney",courtney.greene@dreamhomes.nyc,2024-03-27,102645.52,Dream Homes Hartford,"Taylor, Richard"
"Cox, Kathleen",kathleen.cox@dreamhomes.nyc,2023-04-30,118176.74,Dream Homes Hartford,"Perry, Cynthia"
"Marshall, Nicole",nicole.marshall@dreamhomes.nyc,2023-10-15,119881.84,Dream Homes Stamford,"Greene, Courtney"
"Dodson, Rhonda",rhonda.dodson@dreamhomes.nyc,2023-12-26,96824.38,Dream Homes Buffalo,"Garcia, Hannah"
"Shaw, Thomas",thomas.shaw@dreamhomes.nyc,2023-11-14,118566.97,Dream Homes Albany,"Pham, Karen"
"Anderson, Joseph",joseph.anderson@dreamhomes.nyc,2024-01-17,63935.96,Dream Homes Newark,"Brown, Ryan"
"Walker, Aaron",aaron.walker@dreamhomes.nyc,2023-09-29,87996.05,Dream Homes New Haven,"Olsen, Ann"
"Olson, Andrea",andrea.olson@dreamhomes.nyc,2023-09-28,31438.68,Dream Homes Syracuse,"Sims, Roberto"
"Vargas, Leah",leah.vargas@dreamhomes.nyc,2024-01-18,54133.35,Dream Homes Paterson,"Rios, Mary"
"Mcguire, Jeanette",jeanette.mcguire@dreamhomes.nyc,2022-07-30,53409.84,Dream Homes Trenton,"Smith, Joshua"
"Grant, Douglas",douglas.grant@dreamhomes.nyc,2024-02-20,87377.29,Dream Homes Hartford,"Patton, Colton"
"Hodges, Patrick",patrick.hodges@dreamhomes.nyc,2023-06-04,49822.95,Dream Homes Bridgeport,"Diaz, Bianca"
"Erickson, Dakota",dakota.erickson@dreamhomes.nyc,2023-07-24,90480.43,Dream Homes Stamford,"Bright, Robert"
"Lowery, Michael",michael.lowery@dreamhomes.nyc,2024-03-20,60762.66,Dream Homes Trenton,"Lee, Melissa"
"Galvan, Alyssa",alyssa.galvan@dreamhomes.nyc,2023-09-26,91907.34,Dream Homes Stamford,"Paul, Ashley"
"Wise, David",david.wise@dreamhomes.nyc,2024-04-13,34270.48,Dream Homes Trenton,"Bright, Robert"
"Obrien, Stephanie",stephanie.obrien@dreamhomes.nyc,2023-08-04,79930.81,Dream Homes Hartford,"Skinner, Aaron"
"Watson, Anthony",anthony.watson@dreamhomes.nyc,2023-06-23,41113.73,Dream Homes Hartford,"Perry, Cynthia"
"Miller, Alejandro",alejandro.miller@dreamhomes.nyc,2023-02-15,116757.03,Dream Homes Syracuse,"Miller, Danielle"
"Vaughan, Robert",robert.vaughan@dreamhomes.nyc,2024-02-26,52020.18,Dream Homes Stamford,"Kane, Diana"
"Hines, Monica",monica.hines@dreamhomes.nyc,2023-08-04,31967.48,Dream Homes Paterson,"Bradley, Michael"
"Cordova, Virginia",virginia.cordova@dreamhomes.nyc,2024-02-24,45804.75,Dream Homes Trenton,"Grant, Douglas"
"Frye, Angela",angela.frye@dreamhomes.nyc,2023-02-11,42409.2,Dream Homes Buffalo,"Olsen, Ann"
"Brown, John",john.brown@dreamhomes.nyc,2023-04-02,111463.66,Dream Homes Hartford,"Morse, Randy"
"Garcia, Christopher",christopher.garcia@dreamhomes.nyc,2024-02-06,73149.95,Dream Homes Newark,"Hill, Allen"
"Murillo, Lydia",lydia.murillo@dreamhomes.nyc,2023-09-13,115909.57,Dream Homes Albany,"Wood, Katelyn"
"Barnes, Michael",michael.barnes@dreamhomes.nyc,2024-02-22,103428.16,Dream Homes Bridgeport,"Willis, Stephanie"
"Leon, Patrick",patrick.leon@dreamhomes.nyc,2023-09-01,58839.48,Dream Homes Bridgeport,"Walker, Aaron"
"Koch, Luis",luis.koch@dreamhomes.nyc,2024-03-11,92653.53,Dream Homes Bridgeport,"Garrett, Raymond"
"Bell, Christopher",christopher.bell@dreamhomes.nyc,2024-03-27,80687.17,Dream Homes Bridgeport,"Klein, Brian"
"Moore, Robert",robert.moore@dreamhomes.nyc,2024-02-24,70858.23,Dream Homes Albany,"Garcia, Craig"
"Carlson, Megan",megan.carlson@dreamhomes.nyc,2023-05-07,93342.93,Dream Homes Bridgeport,"Romero, Diane"
"Mcgrath, Alison",alison.mcgrath@dreamhomes.nyc,2023-03-24,33884.47,Dream Homes Stamford,"Patton, Colton"
"Walsh, Timothy",timothy.walsh@dreamhomes.nyc,2024-04-01,117393.71,Dream Homes Bridgeport,"Mcguire, Jeanette"
"Burton, Tina",tina.burton@dreamhomes.nyc,2023-06-24,107720.2,Dream Homes Syracuse,"Vargas, Leah"
"Mccann, Wendy",wendy.mccann@dreamhomes.nyc,2023-12-07,102872.19,Dream Homes Syracuse,"Marshall, Nicole"
"Williams, Kristy",kristy.williams@dreamhomes.nyc,2022-05-08,53315.69,Dream Homes Hartford,"Ross, Molly"
"White, Gregory",gregory.white@dreamhomes.nyc,2021-10-19,46576.68,Dream Homes Stamford,"Skinner, Aaron"
"Evans, Christina",christina.evans@dreamhomes.nyc,2023-01-13,48283.19,Dream Homes Hartford,"Lowery, Michael"
"Fry, Joseph",joseph.fry@dreamhomes.nyc,2024-04-11,104445.89,Dream Homes Syracuse,"Hines, Monica"
"Cruz, Pamela",pamela.cruz@dreamhomes.nyc,2023-11-30,113768.89,Dream Homes Syracuse,"Bright, Robert"
"Hopkins, Andrew",andrew.hopkins@dreamhomes.nyc,2023-11-04,81671.63,Dream Homes Syracuse,"Ross, Molly"
