Name,Email,Phone Number,Street,State,Zip Code,Client Type,Preferred Home Type,Preferred Number of Bedrooms,Preferred Number of Bathrooms,Preferred Square Footage,Preferred School Rating,Assigned Employee
"Morrison, Timothy",timothy.morrison@example.com,572.446.9260,47975 Sanders Crescent Suite 530,NY,13484,seller,,,,,,"Cameron, Katie"
"Chavez, Gerald",gerald.chavez@example.com,001-377-567-0382x33657,133 Perez Drive Suite 637,CT,6269,owner,,,,,,"Cruz, Pamela"
"Kent, Laura",laura.kent@example.com,001-497-809-0490x93030,36303 Chelsea Gardens Suite 343,CT,6371,seller,,,,,,"Clements, Derek"
"Mitchell, Michelle",michelle.mitchell@example.com,2268988829,56096 Sabrina Ferry Apt. 961,CT,6367,renter,single house,4,1,1467,2,"Hodges, Patrick"
"Rodriguez, Robert",robert.rodriguez@example.com,(208)233-4286,1681 Bautista Coves Apt. 055,CT,6045,owner,,,,,,"Hines, Monica"
"Long, Scott",scott.long@example.com,8572217347,39645 Mcdowell Walks,CT,6264,owner,,,,,,"Marshall, Nicole"
"Fox, Rhonda",rhonda.fox@example.com,571.355.8089,782 Murphy Estates,NJ,7900,buyer,single house,3,3,1574,10,"Cordova, Virginia"
"Pitts, Catherine",catherine.pitts@example.com,428-769-0256,5655 Nicholas Hills Suite 380,CT,6014,seller,,,,,,"Harris, Jennifer"
"Pace, Natasha",natasha.pace@example.com,944-972-7019x746,0097 Kevin Ports Suite 646,NY,12099,seller,,,,,,"Wood, Maria"
"Hopkins, Michael",michael.hopkins@example.com,698.482.0058,26547 Allison Mews,NY,11671,owner,,,,,,"Romero, Diane"
"Bennett, Joshua",joshua.bennett@example.com,3607627566,3805 Moore Plain Suite 480,CT,6296,renter,condo,2,3,2045,8,"Roman, Gabriela"
"Hart, Brandon",brandon.hart@example.com,(208)535-4212,727 Jonathan Junction,NJ,8615,owner,,,,,,"Munoz, Paul"
"Mathews, Steven",steven.mathews@example.com,001-553-899-3370,3228 Johnson Course,NY,12608,owner,,,,,,"Cox, Kathleen"
"Clark, David",david.clark@example.com,924-662-7443,21067 Jane Vista,CT,6099,owner,,,,,,"Garcia, Hannah"
"Smith, Beverly",beverly.smith@example.com,948-505-0504x21059,38647 David Common Suite 267,NJ,7200,owner,,,,,,"Thomas, Kenneth"
"Meyer, Julia",julia.meyer@example.com,738-287-4087x45199,7612 Anna Villages,CT,6190,seller,,,,,,"Burton, Tina"
"Small, Dennis",dennis.small@example.com,544-944-8461x4292,31327 Mosley Alley Suite 220,CT,6248,seller,,,,,,"Smith, Joshua"
"Kelley, Zachary",zachary.kelley@example.com,(674)632-8340,6877 Brian Curve Suite 529,NY,12052,buyer,condo,2,2,1329,9,"Collins, Briana"
"Goodman, William",william.goodman@example.com,(987)856-8338x649,49678 Shannon Loop,CT,6062,seller,,,,,,"Rios, Mary"
"Baker, William",william.baker@example.com,(864)258-5673x9268,6086 Patrick Canyon,NY,12977,renter,single house,2,3,2258,4,"Sims, Roberto"
"Jimenez, Theresa",theresa.jimenez@example.com,+1-390-968-1234x86895,917 Compton Cliffs Apt. 531,NY,12232,owner,,,,,,"Frye, Angela"
"Lee, James",james.lee@example.com,(657)797-4282,900 Isabel Expressway,NY,11423,renter,single house,4,1,1257,6,"Brown, John"
"Rubio, Howard",howard.rubio@example.com,348.819.2281,2441 Johnson Groves,CT,6287,seller,,,,,,"Pham, Karen"
"Tucker, Cameron",cameron.tucker@example.com,315-730-2972x1892,46748 Donna Streets,NJ,8043,buyer,single house,1,1,2649,4,"Klein, Brian"
"Wallace, Bryan",bryan.wallace@example.com,-2330,41804 Stewart Parkways,NY,11007,buyer,apartment,4,2,816,7,"Cruz, Connie"
"Frey, Daniel",daniel.frey@example.com,364.629.0844x379,93272 Michele Springs Suite 847,NY,10533,owner,,,,,,"Garrett, Raymond"
"Scott, Erica",erica.scott@example.com,487-767-2782,1666 Smith River Suite 114,CT,6102,owner,,,,,,"Taylor, Jessica"
"Walker, John",john.walker@example.com,+1-937-670-0377x608,8453 Mills Gardens Apt. 866,NY,11016,buyer,condo,1,3,2342,0,"Coleman, Katherine"
"Zamora, Bradley",bradley.zamora@example.com,(496)374-1769,636 Monique Harbors Suite 951,NY,12894,seller,,,,,,"Munoz, Paul"
"Johnson, Kathryn",kathryn.johnson@example.com,387.369.5177,3215 James Springs Suite 617,CT,6323,seller,,,,,,"Miller, Danielle"
"Mueller, William",william.mueller@example.com,961.851.5576x440,5708 Sierra Lodge,NY,13500,renter,single house,5,1,1824,3,"Howard, Katherine"
"Sanchez, Connie",connie.sanchez@example.com,+1-481-610-0861x8642,45158 Matthew Ways,NJ,7571,buyer,single house,5,2,1593,10,"Cameron, Katie"
"Love, Susan",susan.love@example.com,001-400-251-5742x867,489 Harris Fords Suite 608,NJ,8397,renter,single house,5,1,3341,9,"Norris, Joshua"
"Young, Matthew",matthew.young@example.com,649-710-5497x421,9488 Byrd Ridges Suite 550,NJ,7256,renter,condo,3,1,1044,0,"Wood, Maria"
"Campbell, Jason",jason.campbell@example.com,(830)960-3884x0677,29336 Arias Radial,CT,6099,renter,single house,2,2,1169,9,"Hughes, Jennifer"
"Wilkins, Edwin",edwin.wilkins@example.com,(854)844-6106x1594,59036 Williamson Keys Apt. 486,NJ,8868,buyer,single house,1,1,2755,5,"Wood, Katelyn"
"Collier, Nicholas",nicholas.collier@example.com,(868)311-7696,852 Patrick Glen Suite 634,NY,12325,buyer,apartment,1,2,2076,9,"Kane, Diana"
"Perez, Monica",monica.perez@example.com,001-798-726-1606,189 Timothy Rapids Suite 659,NJ,8115,buyer,townhouse,2,1,3101,10,"Zimmerman, Melissa"
"Moore, Scott",scott.moore@example.com,001-288-408-5220x524,76618 Roberts Terrace Suite 478,CT,6061,renter,single house,4,1,620,2,"Ross, Patricia"
"Garza, Robin",robin.garza@example.com,+1-495-740-1097x59717,32654 Jon Gardens Apt. 316,NJ,7977,buyer,apartment,1,2,2328,3,"Campos, Michael"
"Murillo, Raymond",raymond.murillo@example.com,-1291,170 Sandra Lock,NJ,7908,seller,,,,,,"Davis, Ashley"
"Bennett, Eileen",eileen.bennett@example.com,4092089354,0685 Melissa Lakes Suite 447,NY,13931,owner,,,,,,"Clements, Derek"
"Stone, David",david.stone@example.com,(522)275-5223,3655 Christopher Glen,NY,12901,owner,,,,,,"Garcia, Craig"
"Holloway, Ryan",ryan.holloway@example.com,+1-763-396-0980x8972,694 Smith Valleys,NY,11830,renter,apartment,3,2,828,10,"Watson, Samantha"
"Mcbride, Michael",michael.mcbride@example.com,(241)938-3150,045 Fuentes Gateway Suite 741,NJ,8636,seller,,,,,,"Watson, Anthony"
"Jackson, Christopher",christopher.jackson@example.com,001-567-378-6230x11302,120 Amanda Islands Suite 697,CT,6014,renter,single house,1,2,1053,2,"Grant, Douglas"
"Kaiser, Tiffany",tiffany.kaiser@example.com,-5506,23896 Carson Underpass,NJ,8431,buyer,single house,5,1,2979,4,"Morse, Randy"
"Fernandez, Tyler",tyler.fernandez@example.com,770.861.5755,55472 Angela Pike Apt. 209,NY,13762,seller,,,,,,"Leon, Patrick"
"Lara, Michael",michael.lara@example.com,(705)279-2794,248 Jones Street,NY,11323,owner,,,,,,"Hopkins, Andrew"
"Simmons, Beverly",beverly.simmons@example.com,+1-765-450-2310x081,62171 Leah Port Apt. 697,NY,10428,owner,,,,,,"Gray, Christina"
"Davis, Lori",lori.davis@example.com,001-508-925-5581x4640,40465 Martin Trafficway Apt. 103,NJ,7204,owner,,,,,,"Erickson, Dakota"
"Lewis, Sheena",sheena.lewis@example.com,230.486.4259,49430 Dunn Trace,NY,12407,renter,condo,1,1,2622,8,"Garcia, Craig"
"Bond, Anthony",anthony.bond@example.com,001-557-236-3330x4293,13632 Richard Circle,CT,6193,owner,,,,,,"Cordova, Virginia"
"Owens, Bryan",bryan.owens@example.com,(264)451-2509x262,598 Martin Estate,CT,6001,buyer,condo,5,2,978,10,"Taylor, Richard"
"Shaw, Erin",erin.shaw@example.com,(721)876-5459,383 John Plaza Suite 570,NY,11262,seller,,,,,,"Wood, Maria"
"Robinson, Jose",jose.robinson@example.com,404-906-1311,277 Foster Way Suite 799,NJ,8116,buyer,single house,4,2,2152,3,"Perry, Cynthia"
"Conway, Jon",jon.conway@example.com,001-784-281-8430x198,95525 Schwartz Circle,NJ,7694,owner,,,,,,"Mccann, Wendy"
"Woods, Christopher",christopher.woods@example.com,878.875.8194x4271,36995 Manuel Pines,CT,6057,seller,,,,,,"Shaw, Thomas"
"Johnson, Tim",timothy.johnson@example.com,580.445.6484x098,32154 Marks Islands Suite 244,NJ,7420,owner,,,,,,"Williams, Kristy"
"Cowan, Mark",mark.cowan@example.com,570.903.2012,04400 Julia Parks Suite 042,NJ,8786,owner,,,,,,"Vaughan, Robert"
"Daniels, Lauren",lauren.daniels@example.com,001-681-700-0052x71712,90335 Robinson Wells,CT,6141,owner,,,,,,"Brennan, Lindsay"
"Fuller, Daniel",daniel.fuller@example.com,858.613.5863x07889,1475 Diane Meadow,CT,6073,renter,apartment,4,2,3318,4,"Skinner, Aaron"
"Burns, Carrie",carrie.burns@example.com,(702)667-9990x2739,5033 Mcdaniel Knoll Apt. 740,CT,6125,seller,,,,,,"Gonzales, Catherine"
"Nash, Joy",joy.nash@example.com,7083468405,098 Moore Courts Suite 281,NJ,7922,buyer,townhouse,1,2,1768,4,"Gonzales, Catherine"
"Shannon, Richard",richard.shannon@example.com,726.607.6588x350,7103 Sabrina Curve,CT,6009,seller,,,,,,"Miller, Danielle"
"Camacho, Michael",michael.camacho@example.com,+1-883-986-3082x83219,7902 Taylor Trail Suite 178,NJ,7808,buyer,condo,2,2,1156,3,"Grant, Douglas"
"Conley, Alexander",alexander.conley@example.com,467-492-6452,0972 Melissa Mall,NY,10926,buyer,condo,5,1,1220,4,"Andrews, Faith"
"Brown, Robert",robert.brown@example.com,001-990-427-5596x58566,70340 Terri Underpass,NJ,8921,seller,,,,,,"Brown, Ryan"
"Griffin, Amber",amber.griffin@example.com,(898)931-3698x0083,7490 Ball Plaza Apt. 698,NY,12881,seller,,,,,,"Smith, Joshua"
"Montoya, Jason",jason.montoya@example.com,(804)770-5642x50847,7845 Nathan Gateway Apt. 269,CT,6355,renter,condo,4,3,3348,3,"Grant, Douglas"
"Young, Christine",christine.young@example.com,001-669-225-7307x754,92717 Jessica Flats Suite 214,NJ,7016,owner,,,,,,"Anderson, Joseph"
"Galloway, Angela",angela.galloway@example.com,532-828-3391,8528 Darryl Pines Suite 640,NY,12281,owner,,,,,,"Zimmerman, Melissa"
"James, Sonia",sonia.james@example.com,001-899-640-2031x740,309 Nicole Prairie,NY,13573,renter,single house,1,2,2888,6,"Meyer, Valerie"
"Hall, Lauren",lauren.hall@example.com,001-221-405-5703x28156,00823 Holmes Square Apt. 170,CT,6224,owner,,,,,,"Cruz, Connie"
"Little, Tina",tina.little@example.com,714-341-7257,7945 Shelia Harbors,NJ,7394,seller,,,,,,"Mcgrath, Alison"
"Robinson, Madison",madison.robinson@example.com,+1-881-229-5617x08420,3321 Hernandez River Suite 433,NJ,7741,owner,,,,,,"Shaffer, Jacqueline"
"Martin, Kelli",kelli.martin@example.com,711-762-5379,213 Steven Well,NJ,7359,owner,,,,,,"Pham, Karen"
"Ramos, Donald",donald.ramos@example.com,633.851.2035x71465,003 Dickson Underpass Suite 182,NJ,7086,seller,,,,,,"Garcia, Hannah"
"Haley, Vanessa",vanessa.haley@example.com,(872)324-1122,160 Wright Route Apt. 377,NY,11685,renter,apartment,1,2,2922,7,"Gonzales, Catherine"
"Lee, Paul",paul.lee@example.com,909.289.1945x42073,07932 Rodriguez Cliff,CT,6297,renter,apartment,3,2,1369,6,"Klein, Brian"
"Walker, Melinda",melinda.walker@example.com,(988)696-5123x43099,8484 Autumn Loop,CT,6062,seller,,,,,,"Howard, Katherine"
"Ellis, Heather",heather.ellis@example.com,001-202-732-7824,1014 Deborah Ranch,NJ,8563,owner,,,,,,"Barry, Megan"
"Obrien, Linda",linda.obrien@example.com,(891)886-0513,5713 Michael Alley Suite 776,CT,6311,seller,,,,,,"Hill, Allen"
"Webster, Garrett",garrett.webster@example.com,278.457.1872x67089,677 Collier Cliff,CT,6129,owner,,,,,,"Mcgrath, Alison"
"Clay, Jason",jason.clay@example.com,001-420-413-5786x1335,069 John Spring Suite 199,NJ,8302,seller,,,,,,"Garcia, Hannah"
"Sullivan, Darlene",darlene.sullivan@example.com,456-397-0663x45521,8738 Maria Island Suite 661,NY,13820,renter,townhouse,3,3,2237,6,"Davis, Craig"
"Collins, Rose",rose.collins@example.com,(702)333-2010x35544,00557 Joseph Parkways Apt. 831,NY,12229,seller,,,,,,"Terry, Zachary"
"Sullivan, Russell",russell.sullivan@example.com,001-271-560-0418x812,142 Christina Glen,CT,6245,renter,condo,1,3,1263,5,"Bright, Robert"
"Mills, Katie",katie.mills@example.com,001-250-230-6314x758,7317 Tucker Mills,NJ,7593,buyer,condo,5,3,1327,3,"Romero, Diane"
"Brown, Matthew",matthew.brown@example.com,514.530.1411,8774 Osborn Avenue,CT,6331,renter,single house,5,2,2425,10,"Garcia, Hannah"
"Patel, Mary",mary.patel@example.com,(526)618-8454x42761,9940 Zachary Brooks,CT,6299,seller,,,,,,"Leon, Patrick"
"Davis, Ronald",ronald.davis@example.com,(490)385-9120x9223,411 Dixon Pines Suite 913,NY,13224,renter,apartment,4,3,1518,1,"Shaffer, Jacqueline"
"Ortega, Matthew",matthew.ortega@example.com,(704)885-3141x5284,387 Hannah Mills Apt. 836,NY,10249,seller,,,,,,"Miller, Danielle"
"Logan, Wendy",wendy.logan@example.com,523.505.7561x88746,0415 Contreras Camp Suite 838,NJ,7170,owner,,,,,,"Bright, Robert"
"Roberts, Michelle",michelle.roberts@example.com,-2342,908 Bailey Trail,NJ,7993,owner,,,,,,"Howard, Katherine"
"Parker, Phillip",phillip.parker@example.com,2644552601,541 Stacy Meadow Apt. 492,NY,11461,renter,single house,3,1,3329,2,"Wood, Katelyn"
"Jensen, Lynn",lynn.jensen@example.com,(329)654-2475,3884 Smith Viaduct,NY,10405,owner,,,,,,"Johnson, Angelica"
"Escobar, Peggy",peggy.escobar@example.com,326-731-9540x13016,5035 Tami Manors,CT,6384,buyer,condo,2,2,2620,9,"Cruz, Connie"
"Rojas, Kim",kim.rojas@example.com,409.882.2256x130,58566 Taylor Wells,NJ,7090,owner,,,,,,"Morse, Randy"
"Mccarthy, Brittany",brittany.mccarthy@example.com,6709914188,5944 Nathaniel Green Suite 287,NY,10417,owner,,,,,,"Coffey, Patrick"
"Hill, James",james.hill@example.com,207.557.6618,2546 Smith Views Apt. 639,NJ,8206,buyer,apartment,1,1,2163,10,"Frye, Angela"
"Anderson, Stephen",stephen.anderson@example.com,600-878-1113x8349,993 Anderson Corners,NJ,7823,owner,,,,,,"Shaw, Thomas"
"Murphy, Derrick",derrick.murphy@example.com,001-775-381-7136x1254,925 Carter Trafficway Apt. 523,NJ,7837,renter,single house,4,2,1876,8,"Cameron, Katie"
"Peterson, Susan",susan.peterson@example.com,-9696,827 Morales Motorway Suite 376,NY,12473,renter,condo,3,1,1812,1,"Harris, Jennifer"
"Johnson, Dustin",dustin.johnson@example.com,884.848.2927x40639,8401 Erin Trail,NY,14026,renter,apartment,4,1,2066,8,"Wheeler, Michelle"
"Williams, Paul",paul.williams@example.com,001-719-622-4609x12946,04949 Luna Lakes,NJ,7320,renter,apartment,1,3,1799,0,"Diaz, Bianca"
"Williams, Christie",christie.williams@example.com,318-806-6665x48259,92909 Kelly Creek Apt. 445,NJ,7772,renter,single house,1,1,859,2,"Moore, Robert"
"Curtis, Blake",blake.curtis@example.com,(461)733-1910x90876,5213 Cantrell Cape Suite 183,NJ,8875,renter,townhouse,3,1,2048,1,"Fletcher, Margaret"
"Cortez, Christopher",christopher.cortez@example.com,(935)731-6029x012,510 Serrano Springs Apt. 665,NY,13150,owner,,,,,,"Garcia, Hannah"
"Grant, Brandon",brandon.grant@example.com,791-828-5649,9493 Billy Locks,CT,6257,owner,,,,,,"Garcia, Hannah"
"Reed, Jacqueline",jacqueline.reed@example.com,413.635.5244x791,234 Joseph Harbors,NJ,8343,seller,,,,,,"Carlson, Megan"
"Thomas, Richard",richard.thomas@example.com,757.715.7666x0479,9026 Brittany Knolls,CT,6366,owner,,,,,,"Gonzales, Catherine"
"Wilcox, Timothy",timothy.wilcox@example.com,-4767,163 David Springs,CT,6040,renter,single house,4,2,1120,8,"Evans, Christina"
"Henry, Joanne",joanne.henry@example.com,6654142233,9371 Jonathan Rue Apt. 676,NJ,8449,renter,single house,2,2,2483,9,"Pham, Karen"
"Shaw, Scott",scott.shaw@example.com,(275)748-0230,18494 Baldwin Hills Apt. 289,NJ,7149,seller,,,,,,"Saunders, Kimberly"
"Mosley, Mary",mary.mosley@example.com,519.958.7527x808,89817 Adkins Passage Suite 140,NY,11037,buyer,townhouse,2,1,928,5,"Shaw, Thomas"
"Chavez, Brenda",brenda.chavez@example.com,561.468.6663,836 Martinez Expressway Suite 602,CT,6294,buyer,apartment,3,3,1039,1,"Garcia, Craig"
"Watson, Teresa",teresa.watson@example.com,(892)400-3180x07095,562 Matthew Land Apt. 720,NY,12967,buyer,townhouse,2,3,2664,4,"Campos, Michael"
"Campbell, Bradley",bradley.campbell@example.com,215.408.0380x795,1742 Torres Viaduct,NY,12407,seller,,,,,,"Collier, James"
"Sanchez, Lisa",lisa.sanchez@example.com,797.397.5342x39845,27459 Katelyn Run,CT,6267,renter,townhouse,5,1,2003,1,"Holland, Kristy"
"Stevens, Caitlin",caitlin.stevens@example.com,(802)854-1624x2052,691 Fisher Isle Apt. 602,NJ,8067,renter,townhouse,2,1,2132,7,"Burton, Tina"
"Alvarado, Kyle",kyle.alvarado@example.com,(552)231-1978x4158,3160 Beck Road Apt. 899,NY,11415,renter,townhouse,3,2,2280,0,"Sims, Roberto"
"Contreras, Samantha",samantha.contreras@example.com,391-769-1346,2462 Brittany Hollow Apt. 988,NJ,8898,renter,single house,4,1,1783,5,"Fry, Joseph"
"Duncan, Karen",karen.duncan@example.com,001-740-920-5017x6639,2795 Jeremy Motorway,CT,6286,owner,,,,,,"Morse, Randy"
"Bryan, Jody",jody.bryan@example.com,(753)375-9246x77678,7452 Edwards Haven,NJ,7483,renter,townhouse,1,1,2209,1,"Gibbs, Anthony"
"Gonzales, Jason",jason.gonzales@example.com,(621)971-8404,3484 Juan Route,NY,14508,owner,,,,,,"Zimmerman, Melissa"
"James, Mary",mary.james@example.com,656-409-4023x59951,6577 Nichols Islands,NY,12967,buyer,townhouse,1,1,2890,8,"Koch, Luis"
"Gill, Melissa",melissa.gill@example.com,(212)657-1291,71938 Amber Crossroad Suite 840,CT,6163,renter,single house,3,1,1366,8,"Campbell, Christopher"
"Sawyer, Michael",michael.sawyer@example.com,001-598-226-7262,845 Bennett Flat,NJ,8257,buyer,apartment,2,1,2627,2,"Smith, Joshua"
"Evans, Renee",renee.evans@example.com,926.987.1991x67574,35290 Mccarty Key,CT,6012,buyer,single house,4,2,2889,0,"Obrien, Stephanie"
"Fischer, Linda",linda.fischer@example.com,749.312.2594x470,6341 Michele Rue,NY,13758,owner,,,,,,"Collins, Briana"
"Wallace, Zachary",zachary.wallace@example.com,001-394-448-8634,0801 Thompson Centers,CT,6350,seller,,,,,,"Pham, Karen"
"Howell, Karen",karen.howell@example.com,001-416-538-0790x5111,0158 Brooks Roads Suite 496,CT,6204,seller,,,,,,"Howard, Katherine"
"Owen, Jermaine",jermaine.owen@example.com,561.995.8512x225,237 Benjamin Gateway,CT,6341,renter,condo,1,2,3037,10,"Meyer, Valerie"
"Johnson, Karen",karen.johnson@example.com,362-608-7762x5103,71742 Carlos Point,CT,6209,owner,,,,,,"Dodson, Rhonda"
"Matthews, Justin",justin.matthews@example.com,708-399-3579,0386 Farmer Springs Suite 526,NJ,8314,renter,single house,1,2,3130,5,"Meyer, Valerie"
"Hancock, Rebecca",rebecca.hancock@example.com,848-379-5024,543 Bobby Wells Suite 595,NY,13331,owner,,,,,,"Lee, Melissa"
"Mendoza, Ashley",ashley.mendoza@example.com,9236895418,532 Michael Pine,CT,6184,seller,,,,,,"Skinner, Aaron"
"Martinez, Robert",robert.martinez@example.com,001-726-608-9759x0903,27522 Katherine Crossing Suite 769,NY,14610,owner,,,,,,"Campbell, Christopher"
"Garcia, Thomas",thomas.garcia@example.com,553-389-4935,4895 Reyes Island Suite 914,NJ,7862,owner,,,,,,"Barrett, Joy"
"Sweeney, Monica",monica.sweeney@example.com,595-265-7104,41249 Emily Tunnel,NJ,8601,renter,townhouse,5,1,1965,3,"Lee, Melissa"
"Mason, Crystal",crystal.mason@example.com,797.320.0182,7234 Samuel Keys,NY,10653,buyer,single house,5,1,3472,2,"Lopez, Katherine"
